To January of:,Measuring Worth  inflation index (annual),MW 2 yr smoothed,CPI-U January values fr 1913,annual_inflation_relative,nominal_stock_return,real_stock_return,nominal_bond_return,real_bond_return,real_stock_index,real_bond_index,rolling_ten_stocks,rolling_ten_bonds,rolling_thirty_stocks,rolling_thirty_bonds,rolling_fifty_stocks,rolling_fifty_bonds,rolling_hundred_stocks,rolling_hundred_bonds
2011,,,220.223,1.016318469,0.24588655,0.225882033,0.091681836,0.074153299,301294.111,6351.56466,0.005081051,0.045870312,0.074140157,0.067972748,0.054260187,0.028878552,0.060671107,0.020888584
2012,,,226.665,1.029252167,0.023218939,-0.005861759,0.226698383,0.191834637,299527.9977,7570.014762,0.023333244,0.056761149,0.077763446,0.077570577,0.051331535,0.03209098,0.060350806,0.022354442
2013,,,230.28,1.015948647,0.157757455,0.139582654,0.051664474,0.03515515,341336.9105,7836.139768,0.064836396,0.048778917,0.074668162,0.067305605,0.054814622,0.031470289,0.061231006,0.022649825
2014,,,233.916,1.015789474,0.200580009,0.181918144,-0.008922907,-0.024328251,403432.2878,7645.500196,0.049360785,0.04111304,0.076754934,0.064450708,0.055212302,0.030924994,0.063754653,0.022502819
2015,,,233.707,0.999106517,0.10830434,0.109295477,0.203144255,0.204220206,447525.6121,9206.865818,0.055726531,0.053964632,0.077183429,0.06656049,0.054155458,0.034254429,0.065597897,0.024361886
2016,,,236.916,1.013730868,-0.047045928,-0.059953582,-0.05978263,-0.072517766,420694.8487,8539.204476,0.039027589,0.048016198,0.069156147,0.056908497,0.050970053,0.033254513,0.062342904,0.023128716
2017,,,242.839,1.025000422,0.22160153,0.191805879,0.057680874,0.031883354,501386.5942,8811.462957,0.045890856,0.049679269,0.066814547,0.051565242,0.055823155,0.034280807,0.064524705,0.024063339
2018,,,247.867,1.020705076,0.240163116,0.215006317,0.097464834,0.075202681,609187.8793,9474.108594,0.072357446,0.058327238,0.07729418,0.054577764,0.057902468,0.038281063,0.070557477,0.027671333
2019,,,251.712,1.015512351,-0.029243742,-0.044072426,0.003408891,-0.011918575,582339.4915,9361.190722,0.122061978,0.058908075,0.070802901,0.053254894,0.054421208,0.038999519,0.070159939,0.028453321
2020,,,257.971,1.02486572,0.203147105,0.173955848,0.236626309,0.206622766,683640.8515,11295.42584,0.107716448,0.066863397,0.074291283,0.057737628,0.062983484,0.046144217,0.071688445,0.032266074
2021,,,261.582,1.013997697,0.206962775,0.190301298,0.060319281,0.045682139,813738.5927,11811.42505,0.104458564,0.064001297,0.080444828,0.057732187,0.065073995,0.044109066,0.075041561,0.032095733
2022,,,281.148,1.074798725,0.184505485,0.102071912,-0.039667688,-0.106500324,896798.4467,10553.50445,0.115901194,0.033784454,0.076200999,0.049444195,0.065115185,0.041170815,0.073873827,0.028167302
2023,,,299.17,1.06410147,-0.083861416,-0.139049602,-0.155560795,-0.20642981,772098.9798,8374.946531,0.085048054,0.006671995,0.068402318,0.037926461,0.060482282,0.035834325,0.069452462,0.024928439
